id,name,description,synthesis_type,key_feature,genre_tags,weirdness_level
240,Rainforest Modulator,Models rainforest behavior using advanced DSP techniques,sample_based,feedback routing,Ethereal;Natural;Cinematic,6
241,Grassland Synth,Models grassland behavior using advanced DSP techniques,fm,oscillator coupling,Experimental;Meditative;Ambient,2
242,Reef Synth,Models reef behavior using advanced DSP techniques,subtractive,comb filtering,Experimental;Natural;Ethereal,3
243,Fungal Synth,Hybrid synthesis combining multiple fungal characteristics,wavetable,harmonic excitation,Drone;Dark Ambient;Ethereal,7
244,Coral Synth,Coral-inspired synthesis with unique timbral characteristics,granular,spectral morphing,Natural;Experimental;Ethereal,5
245,Ant Colony Synth,Wavetable morphing based on ant colony waveforms,physical_modeling,harmonic excitation,Ambient;Dark Ambient;Cinematic,7
246,Wolf Pack Synth,Granular processing inspired by wolf pack textures,additive,harmonic series,Dark Ambient;Natural;Experimental,3
247,Pulsar Oscillator,Hybrid synthesis combining multiple pulsar characteristics,feedback,time stretching,Cinematic;Dark Ambient;Experimental,6
248,Solar Wind Filter,Additive synthesis recreating solar wind spectra,noise,envelope shaping,Meditative;Ethereal;Experimental,3
249,Black Hole Processor,Additive synthesis recreating black hole spectra,hybrid,wavetable scanning,Dark Ambient;Natural;Cinematic,5
250,Supernova Synth,Hybrid synthesis combining multiple supernova characteristics,sample_based,recursive feedback,Natural;Ambient;Experimental,8
251,Quasar Processor,Hybrid synthesis combining multiple quasar characteristics,fm,harmonic excitation,Natural;Experimental;Meditative,8
252,Neutron Synth,Neutron patterns drive oscillator and modulation parameters,subtractive,pattern sequencing,Meditative;Ethereal;Natural,4
253,Cosmic Generator,Granular processing inspired by cosmic textures,wavetable,convolution,Dark Ambient;Drone;Ethereal,8
254,Magnetar Synth,Additive synthesis recreating magnetar spectra,granular,ring modulation,Meditative;Cinematic;Natural,8
255,Zodiacal Synth,Zodiacal-inspired synthesis with unique timbral characteristics,physical_modeling,stochastic triggering,Meditative;Natural;Experimental,3
256,Chemical Synth,Granular processing inspired by chemical textures,additive,modulation matrix,Meditative;Drone;Natural,3
257,Catalyst Synth,Catalyst patterns drive oscillator and modulation parameters,feedback,time stretching,Natural;Ethereal;Meditative,8
258,Exothermic Sequencer,Models exothermic behavior using advanced DSP techniques,noise,wavetable scanning,Drone;Cinematic;Ethereal,3
259,Crystal Synth,Granular processing inspired by crystal textures,hybrid,wavefolding,Ambient;Experimental;Natural,3
260,Oxidation Synth,Physical modeling of oxidation acoustic properties,sample_based,pitch shifting,Natural;Cinematic;Ambient,3
261,Fermentation Synth,Feedback network simulating fermentation dynamics,fm,spectral blur,Drone;Meditative;Dark Ambient,7
262,Polymer Synth,Polymer-inspired synthesis with unique timbral characteristics,subtractive,wavetable scanning,Meditative;Ethereal;Cinematic,3
263,Photosynthesis Generator,Wavetable morphing based on photosynthesis waveforms,wavetable,harmonic mapping,Drone;Dark Ambient;Meditative,2
264,Combustion Synth,Granular processing inspired by combustion textures,granular,frequency shifting,Ethereal;Experimental;Meditative,5
265,Radioactive Processor,Feedback network simulating radioactive dynamics,physical_modeling,time stretching,Meditative;Natural;Cinematic,4
266,Entropy Resonator,Entropy patterns drive oscillator and modulation parameters,additive,bit crushing,Dark Ambient;Ethereal;Natural,5
267,Wave Sequencer,Additive synthesis recreating wave spectra,feedback,ring modulation,Meditative;Dark Ambient;Ambient,8
268,Harmonic Sequencer,Models harmonic behavior using advanced DSP techniques,noise,allpass diffusion,Cinematic;Meditative;Dark Ambient,7
269,Frequency Resonator,Models frequency behavior using advanced DSP techniques,hybrid,feedback routing,Dark Ambient;Experimental;Ambient,3
270,Phase Modulator,Phase patterns drive oscillator and modulation parameters,sample_based,spectral freeze,Ambient;Meditative;Ethereal,6
271,Doppler Synth,Physical modeling of doppler acoustic properties,fm,convolution,Natural;Drone;Dark Ambient,6
272,Acoustic Synth,Granular processing inspired by acoustic textures,subtractive,phase distortion,Natural;Ambient;Cinematic,2
273,Overtone Synth,Feedback network simulating overtone dynamics,wavetable,filter topology,Ambient;Dark Ambient;Drone,4
274,Spring Processor,Hybrid synthesis combining multiple spring characteristics,granular,allpass diffusion,Natural;Experimental;Ambient,4
275,Summer Generator,Granular processing inspired by summer textures,physical_modeling,fractal generation,Cinematic;Ambient;Drone,7
276,Autumn Synth,Autumn-inspired synthesis with unique timbral characteristics,additive,envelope shaping,Cinematic;Dark Ambient;Natural,6
277,Winter Synth,Wavetable morphing based on winter waveforms,feedback,fractal generation,Ethereal;Cinematic;Meditative,3
278,Thaw Processor,Hybrid synthesis combining multiple thaw characteristics,noise,modulation matrix,Ethereal;Ambient;Dark Ambient,3
279,Monsoon Engine,Feedback network simulating monsoon dynamics,hybrid,bit crushing,Drone;Experimental;Meditative,3
280,Dry Season Synth,Wavetable morphing based on dry season waveforms,sample_based,wavefolding,Drone;Dark Ambient;Experimental,4
281,Permafrost Synth,Feedback network simulating permafrost dynamics,fm,envelope shaping,Cinematic;Natural;Ambient,8
282,Tidal Filter,Wavetable morphing based on tidal waveforms,subtractive,fractal generation,Drone;Ethereal;Meditative,3
283,Spring Tide Synth,Granular processing inspired by spring tide textures,wavetable,pattern sequencing,Drone;Ethereal;Natural,4
284,Neap Tide Resonator,Additive synthesis recreating neap tide spectra,granular,physical resonance,Ambient;Ethereal;Drone,9
285,Rip Current Synth,Physical modeling of rip current acoustic properties,physical_modeling,spectral freeze,Dark Ambient;Ambient;Natural,4
286,Undertow Modulator,Undertow-inspired synthesis with unique timbral characteristics,additive,harmonic mapping,Ethereal;Dark Ambient;Drone,2
287,Ebb Flow Oscillator,Hybrid synthesis combining multiple ebb flow characteristics,feedback,modulation matrix,Ethereal;Meditative;Natural,8
288,Coastline Generator,Additive synthesis recreating coastline spectra,noise,allpass diffusion,Experimental;Dark Ambient;Natural,3
289,River Meander Resonator,Models river meander behavior using advanced DSP techniques,hybrid,convolution,Meditative;Natural;Drone,2
290,Sediment Synth,Models sediment behavior using advanced DSP techniques,sample_based,spectral freeze,Experimental;Ethereal;Cinematic,3
291,Canyon Generator,Additive synthesis recreating canyon spectra,fm,oscillator coupling,Ambient;Dark Ambient;Natural,9
292,Dune Resonator,Dune-inspired synthesis with unique timbral characteristics,subtractive,envelope shaping,Ethereal;Meditative;Experimental,9
293,Landslide Resonator,Physical modeling of landslide acoustic properties,wavetable,recursive feedback,Natural;Experimental;Drone,7
294,Weathering Synth,Weathering patterns drive oscillator and modulation parameters,granular,oscillator coupling,Ambient;Meditative;Cinematic,5
295,Fractal Synth,Models fractal behavior using advanced DSP techniques,physical_modeling,harmonic series,Ambient;Cinematic;Natural,3
296,Spiral Synth,Models spiral behavior using advanced DSP techniques,additive,spectral freeze,Natural;Meditative;Dark Ambient,4
297,Fibonacci Synth,Wavetable morphing based on fibonacci waveforms,feedback,physical resonance,Ethereal;Experimental;Drone,5
298,Sunflower Synth,Wavetable morphing based on sunflower waveforms,noise,physical resonance,Ambient;Experimental;Cinematic,7
299,Thunder Engine,Thunder patterns drive oscillator and modulation parameters,hybrid,filter topology,Experimental;Meditative;Drone,3
300,Aurora Resonator,Granular processing inspired by aurora textures,sample_based,filter topology,Drone;Ethereal;Ambient,4
301,Gear Synth,Physical modeling of gear acoustic properties,fm,convolution,Ambient;Rhythmic;Texture,8
302,Piston Modulator,FM synthesis capturing piston harmonic relationships,subtractive,phase distortion,Rhythmic;Texture;Percussion,9
303,Turbine Synth,Turbine-inspired synthesis with unique timbral characteristics,wavetable,harmonic excitation,Texture;Dark;Mechanical,8
304,Conveyor Synth,Models conveyor behavior using advanced DSP techniques,granular,chaos modulation,Industrial;Rhythmic;Percussion,7
305,Welding Processor,Welding-inspired synthesis with unique timbral characteristics,physical_modeling,chaos modulation,Percussion;Industrial;Mechanical,7
306,Pneumatic Sequencer,Pneumatic-inspired synthesis with unique timbral characteristics,additive,allpass diffusion,Percussion;Texture;Industrial,2
307,Steam Oscillator,Feedback network simulating steam dynamics,noise,physical resonance,Rhythmic;Texture;Mechanical,7
308,Furnace Engine,Models furnace behavior using advanced DSP techniques,feedback,pitch shifting,Aggressive;Dark;Percussion,9
309,Jackhammer Synth,Additive synthesis recreating jackhammer spectra,hybrid,granular freeze,Industrial;Aggressive;Rhythmic,7
310,Transformer Synth,Models transformer behavior using advanced DSP techniques,sample_based,pitch shifting,Industrial;Rhythmic;Mechanical,3
311,Relay Modulator,Physical modeling of relay acoustic properties,fm,modulation matrix,Mechanical;Industrial;Percussion,2
312,Valve Filter,Valve patterns drive oscillator and modulation parameters,subtractive,recursive feedback,Percussion;Mechanical;Texture,9
313,Grinding Engine,Grinding-inspired synthesis with unique timbral characteristics,wavetable,allpass diffusion,Rhythmic;Ambient;Industrial,7
314,Chain Synth,Physical modeling of chain acoustic properties,granular,comb filtering,Texture;Aggressive;Dark,2
315,Hydraulic Synth,Models hydraulic behavior using advanced DSP techniques,physical_modeling,stochastic triggering,Ambient;Industrial;Dark,4
316,Drill Synth,FM synthesis capturing drill harmonic relationships,additive,wavefolding,Industrial;Ambient;Aggressive,5
317,Stamping Oscillator,Hybrid synthesis combining multiple stamping characteristics,noise,feedback routing,Industrial;Aggressive;Ambient,4
318,Factory Synth,Wavetable morphing based on factory waveforms,feedback,sample rate reduction,Rhythmic;Industrial;Mechanical,8
319,Demolition Generator,Granular processing inspired by demolition textures,hybrid,pitch shifting,Texture;Ambient;Aggressive,5
320,Engine Processor,Additive synthesis recreating engine spectra,sample_based,pitch shifting,Dark;Percussion;Rhythmic,3
321,Motor Synth,Granular processing inspired by motor textures,fm,formant filtering,Industrial;Rhythmic;Ambient,3
322,Compressor Modulator,Models compressor behavior using advanced DSP techniques,subtractive,harmonic mapping,Texture;Aggressive;Percussion,8
323,Electromagnetic Generator,Electromagnetic-inspired synthesis with unique timbral characteristics,wavetable,phase distortion,Dark;Mechanical;Aggressive,7
324,Siren Oscillator,FM synthesis capturing siren harmonic relationships,granular,harmonic mapping,Texture;Percussion;Dark,5
325,Saw Blade Synth,Saw Blade patterns drive oscillator and modulation parameters,physical_modeling,granular freeze,Industrial;Texture;Ambient,6
326,Forging Oscillator,Physical modeling of forging acoustic properties,additive,harmonic series,Ambient;Industrial;Rhythmic,4
327,Magnetic Synth,Additive synthesis recreating magnetic spectra,noise,spectral morphing,Texture;Aggressive;Mechanical,6
328,Electrical Generator,FM synthesis capturing electrical harmonic relationships,feedback,sample rate reduction,Industrial;Rhythmic;Mechanical,3
329,Air Brake Generator,Physical modeling of air brake acoustic properties,hybrid,phase distortion,Dark;Texture;Aggressive,9
330,Compression Processor,Granular processing inspired by compression textures,sample_based,convolution,Aggressive;Texture;Percussion,7
331,Pulse Resonator,Models pulse behavior using advanced DSP techniques,fm,bit crushing,Texture;Dark;Percussion,4
332,Speed Ramp Filter,Feedback network simulating speed ramp dynamics,subtractive,stochastic triggering,Texture;Ambient;Mechanical,2
333,Clock Synth,Granular processing inspired by clock textures,wavetable,time stretching,Dark;Industrial;Rhythmic,5
334,Rotor Synth,Additive synthesis recreating rotor spectra,granular,granular density,Texture;Rhythmic;Dark,8
335,Spindle Processor,FM synthesis capturing spindle harmonic relationships,physical_modeling,pitch shifting,Ambient;Aggressive;Industrial,9
336,Lathe Filter,Models lathe behavior using advanced DSP techniques,additive,stochastic triggering,Texture;Ambient;Percussion,6
337,Press Synth,Press-inspired synthesis with unique timbral characteristics,noise,ring modulation,Ambient;Dark;Texture,5
338,Roller Synth,FM synthesis capturing roller harmonic relationships,feedback,spectral blur,Ambient;Percussion;Dark,7
339,Conveyor Modulator,Conveyor patterns drive oscillator and modulation parameters,hybrid,fractal generation,Aggressive;Texture;Ambient,7
340,Hoist Oscillator,Granular processing inspired by hoist textures,sample_based,ring modulation,Texture;Mechanical;Ambient,5
341,Crane Synth,Granular processing inspired by crane textures,fm,time stretching,Industrial;Texture;Dark,5
342,Winch Oscillator,Winch-inspired synthesis with unique timbral characteristics,subtractive,wavefolding,Aggressive;Industrial;Dark,6
343,Pulley Synth,Hybrid synthesis combining multiple pulley characteristics,wavetable,time stretching,Industrial;Dark;Texture,5
344,Lever Synth,Hybrid synthesis combining multiple lever characteristics,granular,ring modulation,Mechanical;Industrial;Ambient,5
345,Cam Synth,Wavetable morphing based on cam waveforms,physical_modeling,spectral freeze,Rhythmic;Aggressive;Ambient,6
346,Crank Filter,Feedback network simulating crank dynamics,additive,chaos modulation,Percussion;Aggressive;Rhythmic,8
347,Flywheel Oscillator,Wavetable morphing based on flywheel waveforms,noise,envelope shaping,Aggressive;Dark;Percussion,5
348,Governor Oscillator,Governor patterns drive oscillator and modulation parameters,feedback,convolution,Rhythmic;Texture;Industrial,2
349,Clutch Filter,Feedback network simulating clutch dynamics,hybrid,spectral blur,Rhythmic;Industrial;Percussion,5
350,Brake Synth,Brake-inspired synthesis with unique timbral characteristics,sample_based,harmonic series,Ambient;Dark;Aggressive,9
351,Bearing Synth,Models bearing behavior using advanced DSP techniques,fm,spectral blur,Aggressive;Industrial;Percussion,7
352,Bushing Synth,Wavetable morphing based on bushing waveforms,subtractive,wavetable scanning,Mechanical;Dark;Industrial,8
353,Gasket Filter,Feedback network simulating gasket dynamics,wavetable,bit crushing,Mechanical;Dark;Ambient,9
354,Seal Synth,Seal patterns drive oscillator and modulation parameters,granular,modulation matrix,Mechanical;Dark;Percussion,6
355,Pump Modulator,Models pump behavior using advanced DSP techniques,physical_modeling,sample rate reduction,Texture;Industrial;Dark,3
356,Fan Generator,Models fan behavior using advanced DSP techniques,additive,modulation matrix,Mechanical;Percussion;Industrial,3
357,Blower Modulator,Physical modeling of blower acoustic properties,noise,sample rate reduction,Mechanical;Percussion;Industrial,5
358,Compressor Synth,Physical modeling of compressor acoustic properties,feedback,oscillator coupling,Percussion;Industrial;Dark,9
359,Turbine Filter,Physical modeling of turbine acoustic properties,hybrid,phase distortion,Texture;Industrial;Aggressive,2
360,Generator Synth,Hybrid synthesis combining multiple generator characteristics,sample_based,granular freeze,Rhythmic;Percussion;Aggressive,3
361,Alternator Generator,Feedback network simulating alternator dynamics,fm,bit crushing,Industrial;Percussion;Mechanical,9
362,Dynamo Synth,Additive synthesis recreating dynamo spectra,subtractive,filter topology,Percussion;Dark;Texture,4
363,Motor Synth,Wavetable morphing based on motor waveforms,wavetable,harmonic series,Aggressive;Percussion;Ambient,6
364,Engine Filter,Feedback network simulating engine dynamics,granular,formant filtering,Mechanical;Percussion;Aggressive,8
365,Boiler Oscillator,Models boiler behavior using advanced DSP techniques,physical_modeling,filter topology,Mechanical;Percussion;Industrial,7
366,Condenser Synth,Additive synthesis recreating condenser spectra,additive,spectral freeze,Mechanical;Percussion;Texture,7
367,Heat Exchanger Synth,Feedback network simulating heat exchanger dynamics,noise,physical resonance,Aggressive;Industrial;Texture,5
368,Radiator Synth,Models radiator behavior using advanced DSP techniques,feedback,pattern sequencing,Dark;Percussion;Rhythmic,3
369,Cooler Modulator,Feedback network simulating cooler dynamics,hybrid,time stretching,Aggressive;Industrial;Mechanical,4
370,Heater Filter,Heater patterns drive oscillator and modulation parameters,sample_based,pitch shifting,Aggressive;Rhythmic;Ambient,6
371,Furnace Synth,Wavetable morphing based on furnace waveforms,fm,convolution,Ambient;Dark;Percussion,7
372,Kiln Synth,Kiln-inspired synthesis with unique timbral characteristics,subtractive,harmonic mapping,Mechanical;Texture;Dark,7
373,Oven Generator,FM synthesis capturing oven harmonic relationships,wavetable,chaos modulation,Ambient;Rhythmic;Industrial,8
374,Dryer Synth,Granular processing inspired by dryer textures,granular,spectral freeze,Rhythmic;Industrial;Ambient,2
375,Mixer Engine,Mixer-inspired synthesis with unique timbral characteristics,physical_modeling,time stretching,Industrial;Percussion;Texture,6
376,Agitator Synth,Wavetable morphing based on agitator waveforms,additive,feedback routing,Rhythmic;Dark;Aggressive,3
377,Centrifuge Synth,Additive synthesis recreating centrifuge spectra,noise,envelope shaping,Percussion;Industrial;Ambient,2
378,Filter Modulator,Hybrid synthesis combining multiple filter characteristics,feedback,pitch shifting,Mechanical;Rhythmic;Industrial,2
379,Separator Processor,Feedback network simulating separator dynamics,hybrid,oscillator coupling,Rhythmic;Percussion;Dark,6
380,Crusher Synth,Models crusher behavior using advanced DSP techniques,sample_based,frequency shifting,Ambient;Dark;Percussion,6
381,Grinder Synth,Hybrid synthesis combining multiple grinder characteristics,fm,feedback routing,Mechanical;Rhythmic;Dark,2
382,Mill Filter,Mill patterns drive oscillator and modulation parameters,subtractive,frequency shifting,Ambient;Dark;Texture,4
383,Shredder Synth,Shredder patterns drive oscillator and modulation parameters,wavetable,phase distortion,Ambient;Dark;Percussion,4
384,Chipper Engine,Hybrid synthesis combining multiple chipper characteristics,granular,comb filtering,Ambient;Industrial;Rhythmic,8
385,Cutter Synth,Models cutter behavior using advanced DSP techniques,physical_modeling,wavetable scanning,Dark;Rhythmic;Mechanical,8
386,Slicer Synth,FM synthesis capturing slicer harmonic relationships,additive,bit crushing,Percussion;Ambient;Texture,7
387,Chopper Synth,Wavetable morphing based on chopper waveforms,noise,spectral morphing,Industrial;Ambient;Percussion,5
388,Press Synth,Granular processing inspired by press textures,feedback,bit crushing,Dark;Mechanical;Rhythmic,7
389,Extruder Filter,Physical modeling of extruder acoustic properties,hybrid,granular density,Percussion;Aggressive;Industrial,7
390,Molder Synth,Molder-inspired synthesis with unique timbral characteristics,sample_based,modulation matrix,Dark;Industrial;Mechanical,9
391,Former Sequencer,Former patterns drive oscillator and modulation parameters,fm,frequency shifting,Industrial;Aggressive;Percussion,5
392,Welder Synth,Additive synthesis recreating welder spectra,subtractive,comb filtering,Rhythmic;Ambient;Percussion,2
393,Solder Generator,Hybrid synthesis combining multiple solder characteristics,wavetable,envelope shaping,Aggressive;Ambient;Industrial,9
394,Riveter Synth,Additive synthesis recreating riveter spectra,granular,comb filtering,Aggressive;Texture;Ambient,7
395,Bolter Synth,FM synthesis capturing bolter harmonic relationships,physical_modeling,recursive feedback,Ambient;Rhythmic;Texture,3
396,Screwer Resonator,Physical modeling of screwer acoustic properties,additive,stochastic triggering,Dark;Texture;Aggressive,4
397,Assembler Processor,Granular processing inspired by assembler textures,noise,recursive feedback,Ambient;Rhythmic;Dark,7
398,Tester Modulator,Physical modeling of tester acoustic properties,feedback,spectral morphing,Industrial;Mechanical;Dark,5
399,Inspector Synth,Additive synthesis recreating inspector spectra,hybrid,pitch shifting,Mechanical;Aggressive;Percussion,8
400,Gear Filter,Gear patterns drive oscillator and modulation parameters,sample_based,time stretching,Dark;Mechanical;Rhythmic,5
401,Superposition Filter,Additive synthesis recreating superposition spectra,fm,formant filtering,Ambient;Electronic;Psychoacoustic,3
402,Entanglement Synth,Entanglement-inspired synthesis with unique timbral characteristics,wavetable,frequency shifting,Experimental;Psychoacoustic;Ambient,5
403,Heisenberg Resonator,Heisenberg patterns drive oscillator and modulation parameters,additive,wavefolding,Electronic;Psychoacoustic;Mathematical,4
404,Schrödinger Synth,Additive synthesis recreating schrödinger spectra,granular,stochastic triggering,Psychoacoustic;Drone;Ambient,8
405,Quantum Synth,Quantum-inspired synthesis with unique timbral characteristics,subtractive,spectral freeze,Ambient;Drone;Psychoacoustic,2
406,Planck Synth,FM synthesis capturing planck harmonic relationships,feedback,ring modulation,Electronic;Psychoacoustic;Generative,9
407,Wave Function Resonator,Wavetable morphing based on wave function waveforms,hybrid,wavetable scanning,Generative;Psychoacoustic;Drone,4
408,Photon Synth,Photon-inspired synthesis with unique timbral characteristics,noise,stochastic triggering,Abstract;Generative;Drone,6
409,Antiparticle Filter,Antiparticle-inspired synthesis with unique timbral characteristics,physical_modeling,modulation matrix,Psychoacoustic;Experimental;Generative,2
410,Qubit Oscillator,Qubit patterns drive oscillator and modulation parameters,sample_based,wavetable scanning,Generative;Ambient;Abstract,3
411,Strange Attractor Synth,Granular processing inspired by strange attractor textures,fm,filter topology,Experimental;Electronic;Ambient,9
412,Butterfly Filter,Physical modeling of butterfly acoustic properties,wavetable,wavefolding,Ambient;Electronic;Abstract,4
413,Logistic Engine,Feedback network simulating logistic dynamics,additive,physical resonance,Psychoacoustic;Generative;Abstract,9
414,Lorenz Synth,Wavetable morphing based on lorenz waveforms,granular,harmonic mapping,Drone;Mathematical;Psychoacoustic,4
415,Mandelbrot Synth,Physical modeling of mandelbrot acoustic properties,subtractive,modulation matrix,Abstract;Experimental;Drone,6
416,Bifurcation Modulator,Bifurcation-inspired synthesis with unique timbral characteristics,feedback,pattern sequencing,Electronic;Psychoacoustic;Generative,9
417,Chaos Synth,Additive synthesis recreating chaos spectra,hybrid,granular freeze,Drone;Experimental;Generative,7
418,Sensitive Generator,Sensitive patterns drive oscillator and modulation parameters,noise,formant filtering,Ambient;Generative;Mathematical,5
419,Strange Loop Synth,Models strange loop behavior using advanced DSP techniques,physical_modeling,oscillator coupling,Experimental;Generative;Abstract,9
420,Attractor Synth,Models attractor behavior using advanced DSP techniques,sample_based,oscillator coupling,Abstract;Electronic;Ambient,7
421,Fractal Synth,Fractal patterns drive oscillator and modulation parameters,fm,harmonic series,Drone;Electronic;Mathematical,5
422,Julia Generator,Julia-inspired synthesis with unique timbral characteristics,wavetable,sample rate reduction,Electronic;Drone;Experimental,3
423,Sierpinski Processor,Granular processing inspired by sierpinski textures,additive,wavetable scanning,Electronic;Mathematical;Drone,5
424,Koch Modulator,Hybrid synthesis combining multiple koch characteristics,granular,spectral blur,Experimental;Psychoacoustic;Generative,8
425,Apollonian Generator,Hybrid synthesis combining multiple apollonian characteristics,subtractive,harmonic excitation,Generative;Electronic;Experimental,8
426,Droste Processor,Droste patterns drive oscillator and modulation parameters,feedback,recursive feedback,Ambient;Psychoacoustic;Experimental,2
427,Barnsley Modulator,FM synthesis capturing barnsley harmonic relationships,hybrid,frequency shifting,Mathematical;Ambient;Psychoacoustic,9
428,Menger Resonator,Wavetable morphing based on menger waveforms,noise,granular freeze,Experimental;Electronic;Ambient,8
429,Möbius Filter,Granular processing inspired by möbius textures,physical_modeling,sample rate reduction,Abstract;Ambient;Mathematical,3
430,Klein Synth,Hybrid synthesis combining multiple klein characteristics,sample_based,convolution,Mathematical;Abstract;Ambient,4
431,Toroidal Synth,FM synthesis capturing toroidal harmonic relationships,fm,pitch shifting,Psychoacoustic;Mathematical;Generative,7
432,Genus Synth,Genus patterns drive oscillator and modulation parameters,wavetable,physical resonance,Drone;Generative;Mathematical,5
433,Knot Resonator,Wavetable morphing based on knot waveforms,additive,formant filtering,Mathematical;Electronic;Drone,8
434,Handle Oscillator,Wavetable morphing based on handle waveforms,granular,envelope shaping,Psychoacoustic;Abstract;Mathematical,3
435,Topological Engine,Hybrid synthesis combining multiple topological characteristics,subtractive,granular freeze,Abstract;Mathematical;Psychoacoustic,5
436,Surface Generator,Surface patterns drive oscillator and modulation parameters,feedback,bit crushing,Electronic;Generative;Psychoacoustic,9
437,Prime Generator,Prime-inspired synthesis with unique timbral characteristics,hybrid,recursive feedback,Ambient;Generative;Electronic,9
438,Sieve Oscillator,Granular processing inspired by sieve textures,noise,harmonic mapping,Electronic;Mathematical;Drone,5
439,RSA Sequencer,FM synthesis capturing rsa harmonic relationships,physical_modeling,bit crushing,Experimental;Mathematical;Drone,4
440,Fermat Synth,Additive synthesis recreating fermat spectra,sample_based,feedback routing,Experimental;Abstract;Generative,8
441,Goldbach Resonator,Hybrid synthesis combining multiple goldbach characteristics,fm,oscillator coupling,Electronic;Abstract;Psychoacoustic,7
442,Mersenne Sequencer,Mersenne patterns drive oscillator and modulation parameters,wavetable,physical resonance,Psychoacoustic;Drone;Mathematical,4
443,Twin Prime Synth,Granular processing inspired by twin prime textures,additive,convolution,Abstract;Drone;Mathematical,5
444,Riemann Processor,Granular processing inspired by riemann textures,granular,oscillator coupling,Drone;Abstract;Psychoacoustic,5
445,Modular Resonator,Modular-inspired synthesis with unique timbral characteristics,subtractive,harmonic excitation,Ambient;Abstract;Electronic,5
446,Fibonacci Synth,Fibonacci-inspired synthesis with unique timbral characteristics,feedback,spectral blur,Electronic;Drone;Generative,6
447,Golden Ratio Synth,Feedback network simulating golden ratio dynamics,hybrid,comb filtering,Generative;Mathematical;Electronic,7
448,Spiral Sequencer,Spiral-inspired synthesis with unique timbral characteristics,noise,oscillator coupling,Experimental;Generative;Electronic,7
449,Phyllotaxis Synth,Phyllotaxis-inspired synthesis with unique timbral characteristics,physical_modeling,oscillator coupling,Mathematical;Drone;Generative,8
450,Nautilus Synth,Nautilus-inspired synthesis with unique timbral characteristics,sample_based,allpass diffusion,Psychoacoustic;Mathematical;Ambient,5
451,Entropy Synth,Models entropy behavior using advanced DSP techniques,fm,wavefolding,Experimental;Mathematical;Psychoacoustic,7
452,Thermal Synth,FM synthesis capturing thermal harmonic relationships,wavetable,pitch shifting,Electronic;Abstract;Generative,8
453,Second Law Synth,Physical modeling of second law acoustic properties,additive,wavefolding,Psychoacoustic;Abstract;Generative,4
454,Heat Death Synth,Feedback network simulating heat death dynamics,granular,sample rate reduction,Abstract;Generative;Experimental,5
455,Boltzmann Synth,FM synthesis capturing boltzmann harmonic relationships,subtractive,stochastic triggering,Abstract;Generative;Mathematical,7
456,Temperature Modulator,Additive synthesis recreating temperature spectra,feedback,pattern sequencing,Mathematical;Experimental;Ambient,3
457,Phase Transition Synth,Phase Transition-inspired synthesis with unique timbral characteristics,hybrid,ring modulation,Electronic;Mathematical;Drone,3
458,Equilibrium Synth,Wavetable morphing based on equilibrium waveforms,noise,allpass diffusion,Generative;Experimental;Mathematical,3
459,Reversibility Synth,Feedback network simulating reversibility dynamics,physical_modeling,stochastic triggering,Electronic;Mathematical;Abstract,9
460,Black Body Oscillator,Wavetable morphing based on black body waveforms,sample_based,pattern sequencing,Experimental;Ambient;Electronic,2
461,Doppler Synth,Granular processing inspired by doppler textures,fm,formant filtering,Experimental;Drone;Mathematical,4
462,Time Dilation Resonator,Models time dilation behavior using advanced DSP techniques,wavetable,oscillator coupling,Electronic;Experimental;Drone,8
463,Spacetime Generator,Additive synthesis recreating spacetime spectra,additive,harmonic excitation,Electronic;Generative;Psychoacoustic,6
464,Gravitational Sequencer,Gravitational-inspired synthesis with unique timbral characteristics,granular,time stretching,Abstract;Drone;Experimental,4
465,Light Cone Engine,Feedback network simulating light cone dynamics,subtractive,harmonic mapping,Generative;Experimental;Electronic,6
466,Frame Dragging Synth,Additive synthesis recreating frame dragging spectra,feedback,convolution,Abstract;Psychoacoustic;Mathematical,9
467,Relativistic Engine,Feedback network simulating relativistic dynamics,hybrid,comb filtering,Electronic;Ambient;Mathematical,2
468,Singularity Synth,Singularity patterns drive oscillator and modulation parameters,noise,spectral morphing,Mathematical;Electronic;Psychoacoustic,8
469,String Synth,Models string behavior using advanced DSP techniques,physical_modeling,harmonic series,Psychoacoustic;Ambient;Mathematical,4
470,Superstring Resonator,Wavetable morphing based on superstring waveforms,sample_based,frequency shifting,Generative;Electronic;Psychoacoustic,4
471,Higgs Sequencer,FM synthesis capturing higgs harmonic relationships,fm,wavefolding,Psychoacoustic;Ambient;Electronic,6
472,Gauge Resonator,Physical modeling of gauge acoustic properties,wavetable,harmonic series,Mathematical;Generative;Abstract,5
473,Quark Oscillator,FM synthesis capturing quark harmonic relationships,additive,frequency shifting,Electronic;Mathematical;Drone,8
474,Gluon Sequencer,Hybrid synthesis combining multiple gluon characteristics,granular,pattern sequencing,Mathematical;Psychoacoustic;Ambient,6
475,Lepton Synth,Lepton-inspired synthesis with unique timbral characteristics,subtractive,harmonic excitation,Drone;Psychoacoustic;Electronic,9
476,Muon Synth,Granular processing inspired by muon textures,feedback,modulation matrix,Experimental;Ambient;Electronic,3
477,Neutrino Synth,Neutrino-inspired synthesis with unique timbral characteristics,hybrid,fractal generation,Mathematical;Generative;Drone,2
